ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK_NAME	RUNS	HR	H	2B	3B	BB
CHI12	20160508	0	Sun	MIN	AL	31	CHA	AL	32	1	3	51	CHA	"Guaranteed Rate Field(Chicago, Illinois)"	0.927	1.101	0.96	0.89	1.071	0.933
CLE08	20160508	0	Sun	KCA	AL	30	CLE	AL	28	4	5	51	CLE	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
DET05	20160508	0	Sun	TEX	AL	32	DET	AL	30	8	3	54	TEX	"Comerica Park(Detroit, Michigan)"	1.019	1.138	0.984	0.884	1.904	0.945
HOU03	20160508	0	Sun	SEA	AL	31	HOU	AL	32	1	5	51	HOU	"Minute Maid Park(Houston, Texas)"	0.808	0.822	0.926	0.886	1.152	0.918
NYC21	20160508	0	Sun	BOS	AL	31	NYA	AL	29	5	1	54	BOS	"Yankee Stadium(New York, New York)"	1.035	1.377	0.982	0.871	0.5	1.033
TOR02	20160508	0	Sun	LAN	NL	31	TOR	AL	33	4	2	54	LAN	"Rogers Centre(Toronto, Ontario)"	1.156	1.01	1.083	1.3	1.1	1.039
ATL02	20160508	0	Sun	ARI	NL	33	ATL	NL	30	5	3	66	ARI	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CHI11	20160508	0	Sun	WAS	NL	31	CHN	NL	30	3	4	76	CHN	"Wrigley Field(Chicago, Illinois)"	0.874	0.819	0.928	0.93	1.045	1.066
CIN09	20160508	0	Sun	MIL	NL	31	CIN	NL	32	5	4	54	MIL	"Great American Ball Park(Cincinnati, Ohio)"	0.99	1.175	0.97	0.949	0.645	1.019
MIA02	20160508	0	Sun	PHI	NL	32	MIA	NL	30	6	5	54	PHI	"Marlins Park(Miami, Florida)"	0.834	0.793	0.868	0.963	0.667	0.967
SAN02	20160508	0	Sun	NYN	NL	30	SDN	NL	32	4	3	54	NYN	"Petco Park(San Diego, California)"	1.014	0.957	1.042	1.062	0.75	0.977
SFO03	20160508	0	Sun	COL	NL	31	SFN	NL	33	2	0	54	COL	"AT&T Park(San Francisco, California)"	1.012	0.704	1.084	1.101	1.526	1.076
STL10	20160508	0	Sun	PIT	NL	31	SLN	NL	32	10	5	54	PIT	"Busch Stadium(St. Louis, Missouri)"	0.921	0.901	0.972	0.914	0.543	0.914
BOS07	20160509	0	Mon	OAK	AL	33	BOS	AL	32	7	14	51	BOS	"Fenway Park(Boston, Massachusetts)"	1.199	1.065	1.161	1.424	1.667	0.977
